node_id,reviewer_id,first_cycle,second_cycle,residu,category,first_sentiment_score,second_sentiment_score,overall_sentiment_score,first_rating,second_rating,overall_rating
119,24,meal,food,"{'microwave', 'cold'}",food and drink,0.7142857142857143,0.3516483516483517,0.3739130434782609,1.2857142857142858,2.0549450549450547,2.0
120,24,other,other,"{'microwave', 'cold'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
121,24,wait,situation,"{'microwave', 'cold'}",place and service,0.2,0.36666666666666664,0.3671497584541063,1.0,1.6,1.893719806763285
122,25,other,other,{'card'},other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
123,26,cream,food,"{'broken', 'machine', 'reply'}",food and drink,0.5,0.3516483516483517,0.3739130434782609,2.75,2.0549450549450547,2.0
124,26,cream,drink,"{'broken', 'machine', 'reply'}",food and drink,0.5,0.4583333333333333,0.3739130434782609,2.75,1.7916666666666667,2.0
125,26,ice,drink,"{'broken', 'machine', 'reply'}",food and drink,0.5,0.4583333333333333,0.3739130434782609,2.0,1.7916666666666667,2.0
126,26,lady,service,"{'broken', 'machine', 'reply'}",place and service,0.16666666666666666,0.35353535353535354,0.3671497584541063,1.3333333333333333,2.0707070707070705,1.893719806763285
127,26,mcdonalds,place,"{'broken', 'machine', 'reply'}",place and service,0.5,0.3958333333333333,0.3671497584541063,1.75,1.8958333333333333,1.893719806763285
128,26,other,other,"{'broken', 'machine', 'reply'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
129,27,other,other,"{'everything', 'clean'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
130,27,manager,service,"{'everything', 'clean'}",place and service,0.42857142857142855,0.35353535353535354,0.3671497584541063,2.2857142857142856,2.0707070707070705,1.893719806763285
131,27,staff,service,"{'everything', 'clean'}",place and service,0.46153846153846156,0.35353535353535354,0.3671497584541063,2.6153846153846154,2.0707070707070705,1.893719806763285
132,27,great,emotion,"{'everything', 'clean'}",sentiment,1.0,0.6538461538461539,0.6538461538461539,3.5,2.6153846153846154,2.6153846153846154
133,28,other,other,"{'snapshot', 'travel', 'visit', 'friday', 'shot', 'photo', 'cnn', 'ireporter', 'cnn.com', 'ireport.com/travel', 'week', 'gallery', 'weekly'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
134,28,best,emotion,"{'snapshot', 'travel', 'visit', 'friday', 'shot', 'photo', 'cnn', 'ireporter', 'cnn.com', 'ireport.com/travel', 'week', 'gallery', 'weekly'}",sentiment,1.0,0.6538461538461539,0.6538461538461539,4.0,2.6153846153846154,2.6153846153846154
135,28,next,other,"{'snapshot', 'travel', 'visit', 'friday', 'shot', 'photo', 'cnn', 'ireporter', 'cnn.com', 'ireport.com/travel', 'week', 'gallery', 'weekly'}",other,0.5,0.8359375,0.8359375,1.5,1.953125,1.953125
136,28,new,other,"{'snapshot', 'travel', 'visit', 'friday', 'shot', 'photo', 'cnn', 'ireporter', 'cnn.com', 'ireport.com/travel', 'week', 'gallery', 'weekly'}",other,0.75,0.8359375,0.8359375,2.0,1.953125,1.953125
137,29,service,service,"{'lazy', 'unqualified'}",place and service,0.4375,0.35353535353535354,0.3671497584541063,2.625,2.0707070707070705,1.893719806763285
138,29,people,situation,"{'lazy', 'unqualified'}",place and service,0.4,0.36666666666666664,0.3671497584541063,3.0,1.6,1.893719806763285
139,29,employee,service,"{'lazy', 'unqualified'}",place and service,0.3333333333333333,0.35353535353535354,0.3671497584541063,1.6666666666666667,2.0707070707070705,1.893719806763285
140,29,other,other,"{'lazy', 'unqualified'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
141,29,horrible,emotion,"{'lazy', 'unqualified'}",sentiment,0.0,0.6538461538461539,0.6538461538461539,1.0,2.6153846153846154,2.6153846153846154
142,30,time,service,"{'sausage', 'biscuit', 'last', 'plain', 'pounder', 'double', 'quarter'}",place and service,0.3,0.35353535353535354,0.3671497584541063,1.4,2.0707070707070705,1.893719806763285
143,30,other,other,"{'sausage', 'biscuit', 'last', 'plain', 'pounder', 'double', 'quarter'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
144,31,wait,situation,"{'sarcasm', 'mocha', 'caramel', 'room', 'temperature'}",place and service,0.2,0.36666666666666664,0.3671497584541063,1.0,1.6,1.893719806763285
145,31,minute,situation,"{'sarcasm', 'mocha', 'caramel', 'room', 'temperature'}",place and service,0.3333333333333333,0.36666666666666664,0.3671497584541063,1.3333333333333333,1.6,1.893719806763285
146,31,other,other,"{'sarcasm', 'mocha', 'caramel', 'room', 'temperature'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
147,32,location,place,"{'dinner', 'parking'}",place and service,0.2727272727272727,0.3958333333333333,0.3671497584541063,2.1818181818181817,1.8958333333333333,1.893719806763285
148,32,location,service,"{'dinner', 'parking'}",place and service,0.2727272727272727,0.35353535353535354,0.3671497584541063,2.1818181818181817,2.0707070707070705,1.893719806763285
149,32,minute,situation,"{'dinner', 'parking'}",place and service,0.3333333333333333,0.36666666666666664,0.3671497584541063,1.3333333333333333,1.6,1.893719806763285
150,32,food,food,"{'dinner', 'parking'}",food and drink,0.5,0.3516483516483517,0.3739130434782609,2.7,2.0549450549450547,2.0
151,32,people,situation,"{'dinner', 'parking'}",place and service,0.4,0.36666666666666664,0.3671497584541063,3.0,1.6,1.893719806763285
152,32,other,other,"{'dinner', 'parking'}",other,1.0,0.8359375,0.8359375,2.094736842105263,1.953125,1.953125
153,32,order,food,"{'dinner', 'parking'}",food and drink,0.23333333333333334,0.3516483516483517,0.3739130434782609,1.9,2.0549450549450547,2.0
