node_id,reviewer_id,first_cycle,second_cycle,category
118,22,fry,food,food and drink
119,22,order,food,food and drink
120,22,lot,other,other
121,23,drink,drink,food and drink
122,23,staff,service,place and service
123,23,other,drink,food and drink
124,24,minute,situation,place and service
125,24,other,food,food and drink
126,24,fry,food,food and drink
127,24,bad,emotion,sentiment
128,24,nugget,food,food and drink
129,24,meal,food,food and drink
130,24,wait,situation,place and service
131,25,other,other,other
132,26,ice,drink,food and drink
133,26,lady,service,place and service
134,26,other,other,other
135,26,mcdonalds,place,place and service
136,26,cream,drink,food and drink
137,26,cream,food,food and drink
138,27,great,emotion,sentiment
139,27,manager,service,place and service
140,27,staff,service,place and service
141,27,other,service,place and service
142,27,other,place,place and service
143,28,next,other,other
144,28,best,emotion,sentiment
145,28,other,food,food and drink
146,28,other,place,place and service
147,28,new,other,other
148,29,service,service,place and service
149,29,other,other,other
150,29,horrible,emotion,sentiment
151,29,employee,service,place and service
152,29,people,situation,place and service
153,30,time,service,place and service
154,30,other,food,food and drink
155,30,other,place,place and service
156,31,minute,situation,place and service
157,31,wait,situation,place and service
158,31,other,emotion,sentiment
159,32,other,food,food and drink
160,32,order,food,food and drink
161,32,people,situation,place and service
162,32,lot,other,other
163,32,location,service,place and service
164,32,location,place,place and service
165,32,minute,situation,place and service
166,32,food,food,food and drink
167,33,price,service,place and service
168,33,extra,other,other
169,33,other,other,other
170,33,pickle,food,food and drink
171,34,window,place,place and service
172,34,other,other,other
173,34,employee,service,place and service
174,34,minute,situation,place and service
175,34,wait,situation,place and service
176,35,service,service,place and service
177,35,other,place,place and service
178,36,location,service,place and service
179,36,location,place,place and service
180,36,horrible,emotion,sentiment
181,36,store,place,place and service
182,36,other,other,other
183,37,3rd,other,other
184,37,line,situation,place and service
185,37,time,service,place and service
186,37,long,situation,place and service
187,37,other,place,place and service
188,38,job,other,other
189,38,staff,service,place and service
190,38,other,other,other
191,39,service,service,place and service
192,39,food,food,food and drink
193,39,other,service,place and service
194,39,other,food,food and drink
195,40,window,place,place and service
196,40,other,food,food and drink
197,40,large,situation,place and service
198,40,fry,food,food and drink
199,40,sandwich,food,food and drink
200,40,chicken,food,food and drink
201,41,minute,situation,place and service
202,41,normal,situation,place and service
203,41,other,food,food and drink
204,41,other,place,place and service
205,41,order,food,food and drink
206,42,drive,place,place and service
207,42,other,situation,place and service
208,42,order,food,food and drink
209,42,mcdonald,place,place and service
210,42,bad,emotion,sentiment
211,43,good,emotion,sentiment
212,43,other,service,place and service
213,43,other,situation,place and service
214,43,order,food,food and drink
215,43,food,food,food and drink
216,43,taste,other,other
217,44,food,food,food and drink
218,44,other,other,other
219,45,drink,drink,food and drink
220,45,employee,service,place and service
221,46,other,situation,place and service
222,46,customer,service,place and service
223,46,management,service,place and service
224,47,time,service,place and service
225,47,mess,situation,place and service
226,47,other,other,other
227,48,great,emotion,sentiment
228,48,manager,service,place and service
229,48,attitude,service,place and service
230,48,day,situation,place and service
231,48,other,other,other
232,48,wrong,situation,place and service
233,48,wait,situation,place and service
234,49,window,place,place and service
235,49,extra,other,other
236,49,attitude,service,place and service
237,49,service,service,place and service
238,49,happy,emotion,sentiment
239,49,long,situation,place and service
240,49,other,service,place and service
241,49,fry,food,food and drink
242,49,horrible,emotion,sentiment
243,49,meal,food,food and drink
244,49,phone,other,other
245,49,work,service,place and service
246,50,line,situation,place and service
247,50,other,place,place and service
248,50,order,food,food and drink
249,50,hour,situation,place and service
250,50,location,service,place and service
251,50,location,place,place and service
252,50,night,situation,place and service
253,51,ice,drink,food and drink
254,51,mcdonalds,place,place and service
255,51,cream,drink,food and drink
256,51,cream,food,food and drink
257,51,other,food,food and drink
258,52,item,drink,food and drink
259,52,item,food,food and drink
260,52,job,other,other
261,52,attitude,service,place and service
262,52,service,service,place and service
263,52,other,food,food and drink
264,52,other,situation,place and service
